Date,USD_AM,USD_PM,GBP_AM,GBP_PM,EURO_AM,EURO_PM
02-01-2001,272.8,271.1,183.026,181.617,288.677,287.334
03-01-2001,269,267.15,178.916,177.39,281.823,281.655
04-01-2001,268.75,267.1,178.869,178.352,282.538,282.049
05-01-2001,268,267.4,178.488,178.148,280.775,280.882
08-01-2001,268.6,268.3,178.769,178.664,282.41,282.481
09-01-2001,267.75,267,179.855,179.195,284.507,283.59
10-01-2001,266.7,266.3,178.777,178.665,283.573,283.298
11-01-2001,264.8,264.15,177.302,176.441,279.768,278.053
12-01-2001,263.65,263.7,176.614,177.695,276.711,277.667
15-01-2001,263.35,263.5,178.084,178.294,278.766,279.576
16-01-2001,264.5,264.45,179.871,179.984,281.084,280.882
17-01-2001,263.1,263.5,178.664,179.069,280.341,282.422
18-01-2001,264.1,264.9,179.112,179.715,280.212,281.031
19-01-2001,265.75,264.9,180.169,179.91,281.813,281.958
22-01-2001,266.1,266.15,181.887,182.182,285.515,284.896
23-01-2001,267.1,266.1,181.38,180.811,283.606,282.905
24-01-2001,265.7,264.25,181.18,180.684,284.933,286.047
25-01-2001,263.6,264.9,181.193,182.112,286.99,288.374
26-01-2001,264.5,263.55,180.116,180.576,284.042,285.846
29-01-2001,263.1,262.85,180.243,180.059,285.668,285.769
30-01-2001,263.4,264.95,180.907,181.187,287.617,286.805
31-01-2001,266.2,264.5,182.03,180.855,286.113,283.737
01-02-2001,266.85,267.65,181.198,180.967,283.431,283.979
02-02-2001,268,266.7,181.387,181.244,284.894,285.454
05-02-2001,266.25,265.45,180.692,180.21,283.335,282.694
06-02-2001,264.55,262.7,180.26,179.563,283.032,281.867
07-02-2001,262.9,263.15,180.155,180.203,282.536,282.047
08-02-2001,263.4,262.95,181.28,181.998,283.989,286.656
09-02-2001,260.5,259.9,180.277,179.911,282.446,281.125
12-02-2001,260.9,261.1,179.683,179.574,280.9,280.753
13-02-2001,261.5,260.75,179.849,179.456,281.485,282.197
14-02-2001,260.9,260.25,179.103,178.559,283.495,283.404
15-02-2001,259.5,258.55,178.412,178.52,284.228,284.904
16-02-2001,256.7,257.45,176.572,177.063,281.531,280.967
19-02-2001,258.95,259.45,178.279,179.055,281.131,281.613
20-02-2001,258.3,256.25,179.412,177.705,283.846,282.587
21-02-2001,257.3,257.5,178.124,178.225,280.895,281.729
22-02-2001,258,258.85,178.918,179.048,284.831,286.149
23-02-2001,259.95,260.45,179.934,179.869,287.174,286.681
26-02-2001,262.8,263.2,181.24,182.019,288.474,288.85
27-02-2001,268.1,268.3,185.601,185.971,292.845,292.043
28-02-2001,265,266.7,183.366,185.144,287.512,289.828
01-03-2001,266.7,266.35,184.122,183.247,287.858,286.398
